PlantID,Ecotype ID,Ecotype Name,TrayPosition,GerminationID,ExperimentID,GrowthLocation,Pot Number,Seed Location
35001,8352,Oy-0,1A1,BVZ0071,BVZ0073,NCRIS CH36,1,1A1
35002,7373,Tsu-0,1A2,BVZ0071,BVZ0073,NCRIS CH36,2,1A2
35003,7165,Hn-0,1A3,BVZ0071,BVZ0073,NCRIS CH36,3,1A3
35004,7135,Fr-4,1A4,BVZ0071,BVZ0073,NCRIS CH36,4,1A4
35005,5122,UKSE06-278,1A5,BVZ0071,BVZ0073,NCRIS CH36,5,1A5
35006,8279,Col-0,1B1,BVZ0071,BVZ0073,NCRIS CH36,6,1A6
35007,8313,Jm-0,1B2,BVZ0071,BVZ0073,NCRIS CH36,7,1A7
35008,8260,Bay-0,1B3,BVZ0071,BVZ0073,NCRIS CH36,8,1A8
35009,7109,Ema-1,1B4,BVZ0071,BVZ0073,NCRIS CH36,9,1A9
35010,7028,Bch-1,1B5,BVZ0071,BVZ0073,NCRIS CH36,10,1B1
35011,7411,Wl-0,1C1,BVZ0071,BVZ0073,NCRIS CH36,11,1B2
35012,8364,Ra-0,1C2,BVZ0071,BVZ0073,NCRIS CH36,12,1B3
35013,8261,Bg-2,1C3,BVZ0071,BVZ0073,NCRIS CH36,13,1B4
35014,,npq4,1C4,BVZ0071,BVZ0073,NCRIS CH36,14,1B5
35015,260,PAR-5,1C5,BVZ0071,BVZ0073,NCRIS CH36,15,1B6
35016,7328,Sf-2,1D1,BVZ0071,BVZ0073,NCRIS CH36,16,1D2
35017,8281,cvi,1D2,BVZ0071,BVZ0073,NCRIS CH36,17,2A3
35018,8324,Ler-1,1D3,BVZ0071,BVZ0073,NCRIS CH36,18,2A2
35019,8279,Col-0,1D4,BVZ0071,BVZ0073,NCRIS CH36,19,1A6
35020,7026,Boot-1,2A1,BVZ0071,BVZ0073,NCRIS CH36,22,1B7
35021,7405,Wc-2,2A2,BVZ0071,BVZ0073,NCRIS CH36,21,1B8
35022,5832,App1-16,2A3,BVZ0071,BVZ0073,NCRIS CH36,23,1B9
35023,7344,Sg-1,2A4,BVZ0071,BVZ0073,NCRIS CH36,24,1C1
35024,7418,Zu-1,2A5,BVZ0071,BVZ0073,NCRIS CH36,25,1C2
35025,7029,Bch-3,2B1,BVZ0071,BVZ0073,NCRIS CH36,26,1C3
